image,contrast,organ,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Contrast,original_glcm_Correlation,original_glcm_Autocorrelation,original_glcm_ClusterTendency,original_glcm_DifferenceEntropy,original_glszm_ZoneEntropy,original_glszm_SmallAreaEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_SizeZoneNonUniformity,original_gldm_SmallDependenceEmphasis,original_gldm_DependenceNonUniformity
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,spleen,23.900000000000546,61.0,114983390.0,1.7749773649081395,19.0,24.674647000265686,219.0,12.286700623257644,42.01371737173717,43.0,-335.0,554.0,8.04802943388671,45.49624172171895,-2.292332619662541,114983390.0,0.36141656441071657,304.75556340887016,1.0610076000277053,0.253744072372525,386.98795764884653,1.8057859137205508,1.4646490985350207,4.980705241825879,0.5736055705343645,495.4384112619407,613.1307189542483,0.04192936333777802,3045.999603960396
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,kidney_right,10.0,46.0,103930522.0,1.7268630880805358,18.0,46.34863154670276,92.0,11.746036999378699,27.817266451533843,29.0,-428.0,520.0,7.7208690155634345,32.57819223858077,-2.9829432223826005,103930522.0,0.3814831029628625,287.538296698294,0.987031039243251,0.2850325448327524,573.0582363304742,1.7961696180733613,1.4409634773041529,4.755443731319325,0.6361703925473431,469.35555555555555,897.4712788259958,0.03545182169887568,4973.835791021608
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,kidney_left,7.0,46.0,96120954.0,1.82321811479933,19.0,8.029765268789689,93.0,12.69664962573081,26.494077692291565,28.0,-167.0,260.0,8.362472281248905,31.74170832614901,-1.309913179509554,96120954.0,0.35238821109057467,305.59989469713577,1.116306698121244,0.2481175790749844,118.69774531222811,1.8703152146608286,1.5068233582437207,4.6431917196879535,0.6309978363968632,631.1269296740995,1084.6569468267583,0.04061607233739772,5162.27592712941
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,gallbladder,-8.0,33.0,18486227.0,1.8649642337030619,21.0,85.23090097430489,81.0,13.559853684239432,10.974628693440513,11.0,-497.0,578.0,9.093042381781945,24.092944315169458,-5.454205828272588,18486227.0,0.332725977528862,460.0274908149684,1.171214946515533,0.3639413015115641,679.8516232110534,2.5584926818388993,1.4034264796297673,5.160822740777306,0.6628885587900535,170.8980322003578,454.19499105545617,0.04106215601667368,1694.8482117624894
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,liver,29.0,69.0,3128670973.0,1.8558944270686493,21.0,220.09807139357326,362.0,13.21000888475256,48.536199230689185,49.0,-944.0,1306.0,8.858279671219087,52.525843601933744,-7.345596413205009,3128670973.0,0.33495626470349177,403.20161033365054,1.1570975768515586,0.35449479035080067,2598.9230327539512,2.4674821439881067,1.4571451561899484,5.190989840070375,0.6018567802976776,6251.665712832252,10636.567467887575,0.034359013745351545,66079.66222810895
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,stomach,-95.0,55.0,1339471486.0,3.3332403271122106,56.0,23.434726103103785,124.0,74.07205813186349,-15.272074910300166,28.0,-1019.0,1143.0,26.842966353380408,139.77355064383255,-4.224657866786261,1339471486.0,0.16691219398238374,19303.409187518206,20.93233809410536,0.7943527154924924,2600.4101975257095,180.8801400811041,2.515000154883381,7.080838292997107,0.6576741036078889,285.46385542168673,2658.3340361445785,0.09948051775979022,4456.512674659432
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,pancreas,20.0,59.0,90324330.0,1.7770139574625239,21.0,3.5746349586442676,99.0,12.318039381638796,39.44575767843262,40.0,-60.0,159.0,8.63323587804581,42.429443884279,-0.24535281602631945,90324330.0,0.34353169325863125,244.28990950355478,1.1080025143781511,0.18094457915667084,30.484473340058905,1.5999304930994336,1.4985471715808925,4.562480121344843,0.5739267828944236,553.6152999449642,558.8514034122179,0.0428506750209495,3174.155521894246
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,adrenal_gland_right,5.0,55.80000000000001,716769.0,2.133591919418285,26.0,3.387433149078163,85.0,16.13776668579213,30.347091932457786,30.0,-49.0,134.0,11.124391104057837,36.67127437078627,-0.27650892286166373,716769.0,0.2728968738669924,423.8363752204415,1.675118865240552,0.2341304049909076,26.40083664455,2.711651601736743,1.700478227637174,4.814515083113459,0.45164496782691116,10.016949152542374,12.186440677966102,0.09887726245786455,52.350844277673545
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,adrenal_gland_left,-19.0,42.30000000000001,370090.0,2.352630857195868,32.0,3.965671191197767,64.0,19.667490433673468,13.446428571428571,16.0,-83.0,147.0,13.426571798791134,28.741846669968858,-0.8748689579621307,370090.0,0.23576012436224492,645.2873086734694,1.5364336855253211,0.46983384789096555,41.605565895796886,4.381008831715969,1.639306765574679,4.6801266994761885,0.4016443451936305,6.170731707317073,7.048780487804878,0.08505889851347094,46.808035714285715
NKI-d23231-00-0522_20170120_kalina99_3595.nii.gz,Non-contrast,small_bowel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
