image,contrast,organ,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Contrast,original_glcm_Correlation,original_glcm_Autocorrelation,original_glcm_ClusterTendency,original_glcm_DifferenceEntropy,original_glszm_ZoneEntropy,original_glszm_SmallAreaEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_SizeZoneNonUniformity,original_gldm_SmallDependenceEmphasis,original_gldm_DependenceNonUniformity
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,spleen,55.100000000000364,121.0,1069551525.0,2.4921209943329266,27.0,9.475173219875535,213.0,22.479239268466767,90.47749207405721,97.0,-177.0,390.0,11.74314746434376,96.78365805053336,-2.0627731411811574,1069551525.0,0.24680545242861007,1180.899893631486,2.753075961871274,0.3733586199853753,203.10292432338113,6.1630972378213045,1.9936935134834592,5.470752834636624,0.6570362003521368,1098.4191870545174,4154.185128106338,0.09279033616820363,6752.263404039166
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,kidney_right,98.0,188.0,2527517706.0,2.8025421251298184,35.0,8.652778365828324,274.0,30.12812820935128,150.287116016088,161.0,-149.0,423.0,16.23291464190606,156.69952444161066,-2.060070444225348,2527517706.0,0.20375323569076792,1968.5237197938538,4.293010186534148,0.4239140717781842,265.9669965240694,10.890729206990327,2.18595902659169,5.556102510272782,0.6935858030413832,924.2498353251153,4730.813117530818,0.10751439611143551,6329.040142227058
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,kidney_left,99.0,188.0,2045457644.0,2.8143497829589927,37.0,7.646274228176214,272.0,28.9148118876726,150.0826170348796,160.0,-138.0,410.0,16.66007022795334,155.619696834493,-1.7498097178390766,2045457644.0,0.19581109654575027,1692.6981068211812,3.522340867775914,0.48516952017532816,232.93726881083546,10.271462044936035,2.1392202884947027,5.597967956652281,0.6743106557569933,769.3903573176701,3438.110866372981,0.10264620601394218,5344.668182141081
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,gallbladder,-12.0,43.0,33648756.0,2.28676161777096,24.0,5.8242533614499274,159.0,17.432498560214995,14.523604323647657,14.0,-145.0,304.0,10.740321083019024,28.461414999407648,-0.41281004221202483,33648756.0,0.2700267798536111,599.1170612186297,2.1532598951366952,0.18732905759590385,85.93764768057986,3.225791172827558,1.8655147442852547,4.973600283626425,0.6580824853593154,466.3105084745763,1183.313220338983,0.07824686051015951,2277.5163340475215
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,liver,36.0,127.0,11895728158.0,2.81083370658535,39.0,4.538372177954569,272.0,27.823603732912154,89.76782297533556,98.0,-154.0,426.0,17.37599930112633,97.16227222350115,-0.9845422568259058,11895728158.0,0.18755533465744142,1382.2451019025596,2.5318066066456697,0.6203008656761165,173.0950245856826,10.843003654910008,1.9603314275598025,5.472172716415098,0.6655145230555293,9374.790608010315,33720.22847516997,0.0741445387548549,77429.43986499195
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,stomach,-72.0,62.0,5030692014.0,3.5215096202367664,57.0,24.29036907837111,179.0,76.71204542127258,-19.34078212290503,18.0,-1129.0,1308.0,25.113279010885236,164.78480963719633,-4.508328234764467,5030692014.0,0.129177373908173,26779.967634041353,19.83794339558008,0.8634452346510074,3250.3163221905274,266.5853358793506,2.6224668438491827,6.819155447123029,0.6626251515442666,1162.8565839738574,8833.669397523818,0.12266540425143205,13941.67337057728
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,pancreas,10.0,106.0,236171070.0,2.960183291678193,45.0,4.673809833061259,219.0,30.48963547833854,63.64015041943882,71.0,-172.0,391.0,19.51023184566165,75.4523960712685,-1.018609907925264,236171070.0,0.1630919101786548,1642.9953274867758,4.221390619684943,0.41995544764958104,166.74652184305188,10.543817659378542,2.2278303519968023,5.860630850399267,0.6189065908683098,358.49884467265724,1389.9807445442875,0.10141061404237862,3066.87363802912
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,adrenal_gland_right,-46.0,83.0,8035909.0,3.30340791380388,69.0,2.6734682916088994,153.0,39.88417743739145,24.302524127691164,30.0,-131.0,284.0,28.9351673346623,54.61585154322993,-0.39510686861944927,8035909.0,0.1159876301319052,2392.278560815119,8.7794447651228,0.2474870193589786,84.82157234452566,14.45375488972388,2.6805460869706375,5.627630965981045,0.5916756445432356,63.90571870170015,213.98299845440494,0.21682063759786643,379.83147735708985
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,adrenal_gland_left,-43.0,71.0,6516091.0,3.1493720411750226,59.25,3.059331346521599,144.0,35.40362500509122,20.637262079062957,27.0,-139.0,283.0,24.904329438376024,48.8374773583683,-0.5380705525740285,6516091.0,0.13331825616466841,1959.2026086092058,7.32428868485299,0.19962880583662146,80.44330325184436,10.822368240213704,2.567842898764835,5.296158388931526,0.6424256318740176,67.34983498349835,232.2805280528053,0.2071583253663413,313.4458272327965
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,small_bowel,-918.0,-479.0,125465617316.0,4.184356060730377,112.0,7.91262175063648,219.0,147.72330216891822,-783.8847804764868,-872.0,-1007.0,1226.0,66.20536094276531,813.3915954922701,2.3414222127219557,125465617316.0,0.09818930825829081,47130.53855479078,86.8054949457939,0.5725304992073472,196.0228008536175,329.93401128863593,3.4800515155862097,6.90064794908452,0.7564938054064937,1243.0090800697055,23140.10455837843,0.21776362695346546,15359.613822124258
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,heart,60.0,166.0,5623967697.0,3.0874339767511825,63.0,3.395566145674151,286.0,34.95729749285836,115.87349673530345,121.0,-298.0,584.0,25.836859976957832,123.46373672528783,-0.5756479966107669,5623967697.0,0.13597169585980834,1816.627040504807,2.2625455250236635,0.7316141654356343,462.05526740483623,14.714710998582282,1.8996523193849966,5.772468696920754,0.6695612213079927,1592.5672508661096,8147.725596087223,0.06506394059757796,21860.41462052815
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,aorta,86.0,173.0,1940280637.0,2.723734137487151,34.0,26.790487782851958,1133.0,27.858369082842557,137.3888052421749,147.0,-134.0,1267.0,15.605565445725007,143.43290600893667,-0.31279404451859716,1940280637.0,0.21112393108311917,1697.3147202961943,2.6960954607152225,0.5862606636351141,215.31018358829684,10.515820449627908,1.9462116124811895,5.85802554172183,0.6487086831521327,602.6343708899606,2668.8056408008183,0.08021512295644213,4945.257252523539
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,pulmonary_vein,40.0,158.0,148259349.0,3.0989655831289427,56.0,11.941809724537112,199.0,41.2480417788263,110.61333192701191,130.0,-417.0,616.0,24.845905942755113,125.05007919938892,-2.397538619351473,148259349.0,0.16383461664612345,3402.2131077781273,8.063737480693616,0.37167382820906375,758.0213822096291,17.81851935290652,2.3675266323466904,5.888100123223007,0.6634266650454292,101.34597156398104,515.0252764612954,0.12796025666696814,552.5738846113279
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,superior_vena_cava,75.0,164.0,23808231.0,2.688831367242574,50.0,3.1672221817763155,184.0,28.682976480888065,127.01676384839651,137.0,2.0,182.0,20.908378888064703,131.73055092364578,-0.8920528683920478,23808231.0,0.1847317019269182,1219.679748127906,1.5026572401199445,0.708796611071775,53.01408553380881,8.935826785312642,1.6512947260461872,4.6114188347533585,0.46896368343777645,8.183673469387756,10.755102040816327,0.05103238435909503,90.38046647230321
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,inferior_vena_cava,49.0,155.0,351358428.0,3.102649676456216,56.0,3.120124842994478,252.0,33.05133412263796,98.89457663731876,97.0,-123.0,375.0,23.339865443719887,107.23788935553107,-0.057478946388549716,351358428.0,0.13596348201154068,1719.82762515461,2.673830881490239,0.6680157149671652,160.39896676246912,13.481491733152023,1.9954864045319867,5.648414713480578,0.6674910594649007,210.05301794453507,1011.2047308319738,0.08977452432142691,2011.4616895231238
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,portal_vein_and_splenic_vein,53.0,173.0,299044303.0,3.147860194895092,54.0,4.699692050033661,250.0,37.969753867130436,125.32985793549175,139.0,-108.0,358.0,23.871004387516667,135.0307258853104,-1.2799319398297189,299044303.0,0.14830455258168787,2525.7236429832933,6.498545375887684,0.35395033840176815,175.96523018681376,14.035373969688449,2.4642351674589285,5.9496010270622754,0.6029654738828291,239.929659173314,937.8158085569253,0.1571543234350594,1466.8423266873972
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,iliac_artery_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,iliac_artery_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,iliac_vena_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKI-d23231-00-0146_20190221_kalina99_0254.nii.gz,Portal,iliac_vena_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
